address1,city,state,zip,country,phone,fax,website,industry,industryDisp,sector,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio,address2,industrySymbol
5301 Stevens Creek Boulevard,Santa Clara,CA,95051,United States,800 227 9770,866 497 1134,https://www.agilent.com,Diagnostics & Research,Diagnostics & Research,Healthcare,18400.0,10.0,4.0,5.0,9.0,8.0,1685577600.0,1672444800.0,86400,2,118.16,117.79,117.27,119.11,118.16,117.79,117.27,119.11,0.9,0.0074,1688083200.0,0.1916,0.7,1.044014,26.063877,19.334969,1390932,1390932,1976082,2533070,2533070,0.0,0.0,900,1000,34951843840,113.02,160.26,4.964751,127.6288,138.5339,0.87,0.0073628975,USD,37494874112.0,0.1919,294421754.0,295376000.0,4339039.0,4842547.0,1682640000.0,1685491200.0,0.0147,0.0028600001,0.90436,2.07,0.0166,0.0,19.579,6.0437202,1667174400.0,1698710400.0,1682812800.0,0.102,1351000064.0,4.54,6.12,1.85,1398:1000,1414972800.0,5.326,18.21,-0.0022765398,0.15015817,0.225,1680480000.0,NYQ,EQUITY,A,A,"Agilent Technologies, Inc.","Agilent Technologies, Inc.",942935400,America/New_York,EDT,7fc56270-e7a7-3fa8-9a59-35b72eacbe29,finmb_154924,-14400000,118.33,163.0,126.0,143.39,144.0,2.0,buy,16.0,1175000064.0,3.978,2059000064.0,2891000064.0,1.546,2.37,7040000000.0,50.009,23.704,0.10401,0.24781999,3722000000.0,867124992.0,1468000000.0,0.121,0.068,0.54588,0.29247,0.25114,USD,2.5105,,
1 Skyview Drive,Fort Worth,TX,76155,United States,682 278 9000,,https://www.aa.com,Airlines,Airlines,Industrials,130800.0,6.0,4.0,6.0,9.0,7.0,1685577600.0,1672444800.0,86400,2,16.32,16.25,16.0,16.35,16.32,16.25,16.0,16.35,,,1580774400.0,0.0,,1.527816,6.0370364,5.030864,18334650,18334650,24422029,21218780,21218780,16.27,16.32,2900,2200,10641666048,11.65,17.64,0.20362538,14.3792,14.3814,0.0,0.0,USD,41372172288.0,0.03391,644819242.0,652862976.0,64331669.0,69945489.0,1682640000.0,1685491200.0,0.098500006,0.010039999,0.55352,2.71,0.111899994,0.0,-8.84,,1672444800.0,1703980800.0,1680220800.0,,1772000000.0,2.7,3.24,0.05,,,0.792,6.424,0.25577807,0.15015817,0.1,1580774400.0,NMS,EQUITY,AAL,AAL,"American Airlines Group, Inc.",American Airlines Group Inc.,1127827800,America/New_York,EDT,b73d98bf-8d5e-382f-9d49-b84d8f52f152,finmb_168569,-14400000,16.3,26.0,9.5,17.05,17.0,2.9,hold,13.0,12316000256.0,18.865,6440000000.0,42929000448.0,0.582,0.718,52260999168.0,,80.282,0.03864,,11443000000.0,2604124928.0,4320999936.0,,0.37,0.26094,0.12323,0.07937,USD,0.0795,,
4200 Six Forks Road,Raleigh,NC,27609,United States,540 362 4911,,https://www.advanceautoparts.com,Specialty Retail,Specialty Retail,Consumer Cyclical,40000.0,2.0,5.0,6.0,2.0,2.0,1685577600.0,1672444800.0,86400,2,67.98,67.78,67.45,69.84,67.98,67.78,67.45,69.84,1.0,0.0147,1689206400.0,0.6686,1.27,1.127464,10.210996,9.95942,2760443,2760443,2247675,3993350,3993350,0.0,0.0,800,900,4084984832,63.56,212.25,0.3647925,105.9346,140.7253,6.0,0.08826125,USD,8467698688.0,0.036140002,58778813.0,59443900.0,2938619.0,2162289.0,1682640000.0,1685491200.0,0.0494,0.00949,0.97156996,1.49,0.0572,0.0,44.643,1.5393231,1672444800.0,1703980800.0,1682121600.0,-0.695,404732000.0,6.73,6.9,4.07,3:2,1127692800.0,0.756,9.092,-0.6152942,0.15015817,1.5,1681344000.0,NYQ,EQUITY,AAP,AAP,Advance Auto Parts Inc.,"Advance Auto Parts, Inc.",1007044200,America/New_York,EDT,e77e78f9-7896-3fa1-acee-885058f2c91a,finmb_24333,-14400000,68.72,135.7,57.0,82.54,80.0,2.9,hold,18.0,226499008.0,3.836,931307008.0,4636292096.0,0.202,1.244,11198105600.0,175.873,187.043,0.03311,0.14596,4964672000.0,58499000.0,398296992.0,-0.682,0.013,0.44015,0.083170004,0.0572,USD,0.5829,,
One Apple Park Way,Cupertino,CA,95014,United States,408 996 1010,,https://www.apple.com,Consumer Electronics,Consumer Electronics,Technology,164000.0,4.0,1.0,5.0,1.0,1.0,1685577600.0,1672444800.0,86400,2,185.01,184.9,182.5901,185.41,185.01,184.9,182.5901,185.41,0.96,0.0052,1683849600.0,0.1559,0.9,1.289436,31.17966,28.042685,49421212,49421212,57272717,59364240,59364240,183.63,183.8,1200,1200,2893451886592,124.17,186.99,7.513605,173.229,153.45184,0.92,0.004972704,USD,2962294571008.0,0.24493,15712029576.0,15728700416.0,117654782.0,124657645.0,1682640000.0,1685491200.0,0.0075,0.00071000005,0.61232,2.03,0.0075,15728700416.0,3.953,46.536808,1663977600.0,1695513600.0,1680307200.0,-0.034,94321000448.0,5.9,6.56,3.89,4:1,1598832000.0,7.692,23.93,0.3304404,0.15015817,0.24,1683849600.0,NMS,EQUITY,AAPL,AAPL,Apple Inc.,Apple Inc.,345479400,America/New_York,EDT,8b10e4ae-9eeb-3684-921a-9ab27e4d87aa,finmb_24937,-14400000,183.96,220.0,140.0,186.4,188.0,2.0,buy,38.0,55872000000.0,3.552,123788001280.0,109614997504.0,0.764,0.94,385095008256.0,176.349,24.116,0.20559,1.4560499,170782000000.0,83796623360.0,109583998976.0,0.0,-0.025,0.43181,0.32145,0.29163,USD,2.5382,,
1 North Waukegan Road,North Chicago,IL,60064-6400,United States,847 932 7900,,https://www.abbvie.com,Drug Manufacturers—General,Drug Manufacturers—General,Healthcare,50000.0,9.0,7.0,7.0,9.0,9.0,1685577600.0,1672444800.0,86400,2,137.82,136.75,134.68,137.43,137.82,136.75,134.68,137.43,5.92,0.043,1681344000.0,1.3435,4.46,0.554225,32.278305,12.363144,5772453,5772453,5444814,6089190,6089190,0.0,0.0,1400,1200,241460740096,131.1,168.11,4.25549,146.9332,150.52956,5.78,0.04193876,USD,297228697600.0,0.13368,1761537388.0,1764290048.0,11379723.0,15646239.0,1682640000.0,1685491200.0,0.0064999997,0.0013,0.71465,2.08,0.0064999997,0.0,7.525,18.187376,1672444800.0,1703980800.0,1680220800.0,-0.947,7542000128.0,4.24,11.07,-3.06,,,5.238,10.068,-0.084242225,0.15015817,1.48,1681344000.0,NYQ,EQUITY,ABBV,ABBV,AbbVie Inc.,AbbVie Inc.,1357137000,America/New_York,EDT,73238d42-cdcc-3f92-8141-dd675addae10,finmb_141885706,-14400000,136.86,195.0,135.0,165.08,162.5,2.4,buy,24.0,6721999872.0,3.81,29522999296.0,62461001728.0,0.659,0.96,56740999168.0,469.526,32.043,0.09443,0.51275,41527000000.0,21602875392.0,24227999744.0,-0.949,-0.097,0.70959,0.52031,0.36979,USD,10.4409,,
1 West First Avenue,Conshohocken,PA,19428-1800,United States,610 727 7000,800 640 5221,https://www.amerisourcebergen.com,Medical Distribution,Medical Distribution,Healthcare,39000.0,2.0,3.0,6.0,7.0,3.0,1685577600.0,1672444800.0,86400,2,184.49,185.47,185.0,186.79,184.49,185.47,185.0,186.79,1.94,0.0106,1683763200.0,0.24260001,1.58,0.530281,23.824358,14.620771,1728370,1728370,1220091,1246460,1246460,0.0,0.0,1000,800,37569806336,135.14,186.79,0.15177095,171.557,160.07425,1.89,0.010244457,USD,42007629824.0,0.00653,168344408.0,202172992.0,4923761.0,4158572.0,1682640000.0,1685491200.0,0.024400001,0.16958,0.77939004,3.05,0.0304,0.0,1.392,133.49857,1664496000.0,1696032000.0,1680220800.0,-0.205,1616848000.0,7.8,12.71,1.96,2:1,1245110400.0,0.17,12.516,0.28513145,0.15015817,0.485,1683763200.0,NYQ,EQUITY,ABC,ABC,AmerisourceBergen Corporation,AmerisourceBergen Corporation,797002200,America/New_York,EDT,902fbdd2-b1df-3c4f-b0b4-a5d23525e932,finmb_24809,-14400000,185.83,208.0,172.0,189.5,189.5,2.0,buy,14.0,1539405952.0,7.603,3356442112.0,6264282112.0,0.467,0.887,247542792192.0,1225.558,1203.908,0.02797,2.21036,8334565000.0,3691810560.0,2912679936.0,-0.178,0.099,0.0341,0.01356,0.01049,USD,3.4484,,
100 Abbott Park Road,North Chicago,IL,60064-6400,United States,224 667 6100,,https://www.abbott.com,Medical Devices,Medical Devices,Healthcare,115000.0,7.0,9.0,9.0,2.0,8.0,1685577600.0,1672444800.0,86400,2,106.7,106.62,105.61,106.76,106.7,106.62,105.61,106.76,2.04,0.019199999,1689206400.0,0.5836,1.54,0.663028,32.294834,22.997835,4145257,4145257,5096308,5635890,5635890,0.0,0.0,900,1100,184763432960,93.25,115.69,4.4515944,106.6952,104.88815,1.96,0.018369261,USD,192392151040.0,0.13984,1725748193.0,1738950016.0,13434952.0,11241109.0,1682640000.0,1685491200.0,0.0077,0.0055,0.76057,3.21,0.0078,0.0,21.283,4.992247,1672444800.0,1703980800.0,1680220800.0,-0.461,5776000000.0,3.29,4.62,-8.84,10000:4798,1357084800.0,4.635,17.945,0.00037658215,0.15015817,0.51,1681344000.0,NYQ,EQUITY,ABT,ABT,Abbott Laboratories,Abbott Laboratories,322151400,America/New_York,EDT,5f9c82b0-139d-3f8f-b30c-efd7ee9ccdcf,finmb_247483,-14400000,106.25,144.0,103.0,123.9,125.0,2.1,buy,21.0,9532000256.0,5.481,10721000448.0,17025999872.0,1.07,1.678,41505001472.0,45.729,23.745,0.06318,0.15932,24579000000.0,6409874944.0,8659000320.0,-0.453,-0.181,0.55639,0.25831,0.18,USD,22.0455,Abbott Park,
1 Grand Canal Square,Dublin,,D02 P820,Ireland,353 1 646 2000,353 1 646 2020,https://www.accenture.com,Information Technology Services,Information Technology Services,Technology,738000.0,1.0,3.0,4.0,4.0,1.0,1685577600.0,1672444800.0,86400,2,317.4,316.49,313.09,317.67,317.4,316.49,313.09,317.67,4.48,0.0139999995,1681257600.0,0.3849,1.39,1.23838,28.83978,24.91647,2923318,2923318,2725046,3063040,3063040,0.0,0.0,800,800,197954928640,242.8,327.93,3.1349552,289.5486,278.4052,4.33,0.013642092,USD,199460012032.0,0.1099,630635522.0,631532032.0,8192545.0,7709344.0,1682640000.0,1685491200.0,0.012999999,0.0014,0.77745,2.94,0.012999999,0.0,37.643,8.320272,1661904000.0,1693440000.0,1677542400.0,-0.068,6939801088.0,10.86,12.57,2.96,,,3.159,18.642,0.09575617,0.15015817,1.12,1681257600.0,NYQ,EQUITY,ACN,ACN,Accenture plc,Accenture plc,995549400,America/New_York,EDT,64bf532c-0542-3794-9f22-7d6062a2458b,finmb_972190,-14400000,313.2,377.0,290.0,328.74,327.0,2.1,buy,21.0,6242975744.0,9.885,10699594752.0,3208500992.0,1.146,1.288,63144419328.0,13.119,99.999,0.1311,0.30949,19701539000.0,8329611264.0,9680274432.0,-0.059,0.051,0.32119998,0.16945,0.15288,USD,3.1127,Grand Canal Harbour,
345 Park Avenue,San Jose,CA,95110-2704,United States,408 536 6000,408 537 6000,https://www.adobe.com,Software—Infrastructure,Software—Infrastructure,Technology,29239.0,5.0,5.0,5.0,1.0,2.0,1685577600.0,1672444800.0,86400,2,485.86,492.0,475.4,495.55,485.86,492.0,475.4,495.55,,,1111622400.0,0.0,,1.295774,46.35728,26.82472,5201138,5201138,3715564,7184550,7184550,476.5,478.0,800,1200,219020083200,274.73,518.74,11.884535,393.712,351.2428,0.0,0.0,USD,216197840896.0,0.26339,456612260.0,458700000.0,6161947.0,5544872.0,1682640000.0,1685491200.0,0.0134000005,0.0029199999,0.85696,1.57,0.0135,0.0,32.397,14.738402,1669939200.0,1701475200.0,1685664000.0,0.099,4854000128.0,10.3,17.8,2.2,2:1,1116892800.0,11.731,31.682,0.26773572,0.15015817,0.0065,1111622400.0,NMS,EQUITY,ADBE,ADBE,Adobe Inc.,Adobe Inc.,524323800,America/New_York,EDT,bccf427f-30a1-3360-9ce4-c77a8198c902,finmb_24321,-14400000,477.48,600.0,381.0,531.76,544.0,2.2,buy,29.0,6600999936.0,14.413,6824000000.0,4112999936.0,1.033,1.157,18428999680.0,27.719,39.846,0.14306,0.33681,15441000000.0,6753124864.0,7861000192.0,0.133,0.098,0.87768996,0.37028998,0.33637002,USD,2.0904,,
One Analog Way,Wilmington,MA,01887,United States,781 935 5565,,https://www.analog.com,Semiconductors,Semiconductors,Technology,24450.0,2.0,7.0,9.0,9.0,8.0,1685577600.0,1672444800.0,86400,2,187.98,186.02,185.34,188.26,187.98,186.02,185.34,188.26,3.44,0.0183,1685664000.0,0.44599998,1.85,1.144366,26.303545,18.378593,2821396,2821396,3447048,3786370,3786370,186.18,186.44,1200,900,92982951936,133.48,198.25,7.2246947,183.9408,170.27464,3.24,0.017235877,USD,99810148352.0,0.28160998,499407617.0,501417984.0,6390511.0,5278576.0,1682640000.0,1685491200.0,0.0127,0.00374,0.89612,1.65,0.0128,0.0,71.823,2.5819027,1667001600.0,1698537600.0,1682726400.0,0.248,3624340992.0,7.05,10.09,3.0,2:1,953164800.0,7.755,14.758,0.27415144,0.15015817,0.86,1685664000.0,NMS,EQUITY,ADI,ADI,"Analog Devices, Inc.","Analog Devices, Inc.",322151400,America/New_York,EDT,d98d9168-137c-3f9c-afb4-adc56ba055f1,finmb_251411,-14400000,185.44,235.0,175.0,205.33,205.0,2.0,buy,25.0,1177608960.0,2.349,6763233792.0,6731146752.0,1.056,1.793,12870156288.0,18.691,25.222,0.05534,0.099139996,7803870000.0,3731869440.0,4885067776.0,0.289,0.098,0.65693,0.5255,0.34517,USD,1.842,,
