Date,Open,High,Low,Close,Adj Close,Volume
2022-06-01,67.27999877929688,68.33999633789062,63.970001220703125,65.12999725341797,64.98235321044922,3006900
2022-06-02,65.22000122070312,67.06999969482422,65.12999725341797,66.66999816894531,66.51885986328125,2420800
2022-06-03,65.61000061035156,66.33000183105469,64.83999633789062,65.2300033569336,65.0821304321289,1469600
2022-06-06,66.7699966430664,69.33000183105469,66.16000366210938,66.83999633789062,66.6884765625,2437100
2022-06-07,65.48999786376953,67.51000213623047,65.19000244140625,67.45999908447266,67.30706787109375,1303200
2022-06-08,67.47000122070312,70.73999786376953,67.30999755859375,70.27999877929688,70.12068176269531,2546900
2022-06-09,69.37000274658203,69.4000015258789,66.20999908447266,66.27999877929688,66.12974548339844,2755100
2022-06-10,64.5199966430664,65.62000274658203,61.68000030517578,62.290000915527344,62.1487922668457,3045900
2022-06-13,59.31999969482422,59.95000076293945,56.790000915527344,57.61000061035156,57.479400634765625,6556300
2022-06-14,58.11000061035156,59.86000061035156,57.400001525878906,58.0099983215332,57.87849426269531,3987400
2022-06-15,58.58000183105469,60.95000076293945,58.13999938964844,59.34000015258789,59.20547866821289,3395100
2022-06-16,57.630001068115234,58.13999938964844,54.20000076293945,54.4900016784668,54.36647415161133,4179400
2022-06-17,55.11000061035156,55.81999969482422,53.599998474121094,54.959999084472656,54.83540725708008,3708400
2022-06-21,56.099998474121094,56.540000915527344,54.25,54.29999923706055,54.176902770996094,3871000
2022-06-22,53.08000183105469,54.95000076293945,52.880001068115234,53.400001525878906,53.27894592285156,3376400
2022-06-23,53.41999816894531,53.970001220703125,50.20000076293945,52.02000045776367,51.90207290649414,5593100
2022-06-24,52.83000183105469,58.29999923706055,52.689998626708984,58.290000915527344,58.157859802246094,8445300
2022-06-27,58.54999923706055,59.2400016784668,56.68000030517578,57.689998626708984,57.55921936035156,2351900
2022-06-28,61.38999938964844,62.9900016784668,59.40999984741211,59.5099983215332,59.375091552734375,5284900
2022-06-29,58.65999984741211,59.20000076293945,56.970001220703125,58.0,57.8685188293457,2871400
2022-06-30,56.84000015258789,58.0099983215332,55.04999923706055,56.97999954223633,56.850830078125,3350000
2022-07-01,56.720001220703125,58.29999923706055,56.02000045776367,58.18000030517578,58.04811096191406,1717700
2022-07-05,56.75,57.83000183105469,55.52000045776367,57.790000915527344,57.658992767333984,2378500
2022-07-06,57.119998931884766,58.220001220703125,55.400001525878906,55.84000015258789,55.71341323852539,3141600
2022-07-07,56.540000915527344,58.70000076293945,56.36000061035156,57.86000061035156,57.72883605957031,2429300
